EmployeeID,meanHour,dayWorked,maxHourADay
1,7.373650622605362,232,7.948333333333333
2,7.718968926553678,236,8.55888888888889
3,7.013240358126724,242,7.993611111111111
4,7.193678486997636,235,7.890833333333333
5,8.006174603174605,245,8.828333333333333
6,10.796095874355366,237,11.74388888888889
7,6.923570402298855,232,8.092222222222222
8,6.7256207133059025,243,7.370833333333334
9,7.236498792270526,230,8.029166666666667
10,7.080087844254505,234,7.9158333333333335
11,8.403485477178425,241,9.50388888888889
12,7.0689545873674495,241,7.836944444444445
13,9.301409509946627,229,9.955833333333333
14,9.399931442080378,235,10.4675
15,6.089687644075612,241,7.136388888888889
16,6.705174636661979,237,7.608888888888889
17,6.61904062652961,227,7.6338888888888885
18,11.01432813911473,246,11.696388888888889
19,6.960253831417621,232,7.9783333333333335
20,9.293555796055797,231,10.172777777777778
21,7.590778256704984,232,8.41638888888889
22,6.008613495469727,233,6.816944444444444
23,8.4021084770115,232,9.423333333333334
24,6.807005280073463,242,7.5275
25,7.093167388167388,231,8.049444444444445
26,9.362002074688798,241,10.199444444444444
27,10.97712343096233,239,11.963055555555556
28,7.604444444444441,236,8.349166666666667
29,10.977585733882028,243,11.830833333333333
30,6.831275362318841,230,7.616388888888889
31,10.10940826330532,238,10.83361111111111
32,6.709665977961435,242,7.644722222222223
33,10.518214624881294,234,11.409444444444444
34,6.1828875171467805,243,6.885555555555555
35,6.58638888888889,240,7.480277777777777
36,10.272241379310355,232,11.14638888888889
37,9.982733011937555,242,10.83361111111111
38,5.979567632850237,230,6.575
39,6.775967939304944,227,7.505277777777778
40,7.6901603905160405,239,8.585
41,7.204732468123861,244,7.938611111111111
42,7.594769503546106,235,8.278333333333334
43,6.952642332415064,242,7.960833333333333
44,7.008878472222221,240,7.976944444444444
45,7.2015733151184005,244,8.04111111111111
46,7.172875000000004,240,8.036111111111111
47,7.63680141843972,235,8.457222222222223
48,7.832781293952177,237,8.716666666666667
49,6.974765051395007,227,7.882777777777778
50,6.906424220272908,228,7.661111111111111
51,10.895463728191,242,12.064444444444444
52,9.125665729020167,237,9.955833333333333
53,6.831459786145981,239,7.644722222222223
54,7.316049905838043,236,8.19
55,8.610798041894355,244,9.470833333333333
56,6.784845288326301,237,7.746111111111111
57,10.98609977324263,245,11.811111111111112
58,7.686584679393045,227,8.505555555555556
59,9.948856881572926,243,10.881666666666666
60,7.905527661552767,239,8.951666666666666
61,10.672414617486345,244,11.535277777777777
62,10.496171548117148,239,11.326666666666666
63,10.069261664261662,231,10.885
64,6.607014174668497,243,7.464722222222222
65,7.497914908579468,237,8.257777777777777
66,10.727235717498875,247,11.38861111111111
67,6.184816810344828,232,6.918055555555555
68,6.609300048947632,227,7.3075
69,6.076246345029246,228,6.844444444444444
70,9.971745709123756,246,10.715833333333334
71,7.421452020202019,242,8.068888888888889
72,6.4938100137174235,243,7.1925
73,6.299470449172581,235,7.146388888888889
74,9.316973304473308,231,10.124166666666667
75,6.097862787356321,232,6.885277777777778
76,7.217327264239031,238,7.853888888888889
77,7.100070018365477,242,7.894166666666667
78,9.914107744107735,231,10.701666666666666
79,10.477788647343003,230,11.379444444444445
80,6.906938633193863,239,7.652222222222222
81,7.58909243295019,232,8.456388888888888
82,6.079724499089256,244,6.754166666666666
